year_mth,landmark,n
Oct 2022,JACKSON COUNTY JAIL,3
Oct 2022,JEFFERSON COUNTY JAIL,3
Oct 2022,JOSEPHINE COUNTY JAIL,1
Oct 2022,KLAMATH COUNTY JAIL,1
Oct 2022,KODIAK CITY JAIL,1
Oct 2022,KOOTENAI CO. JAIL,7
Oct 2022,LEMON CREEEK CORRECTIONAL CENTER,2
Oct 2022,Medford Non-Detained Docket,12
Oct 2022,NORTHWEST DETENTION CENTER DETAINED DOCKET,4
Oct 2022,POO CAP NON-CUSTODIAL ARREST,7
Oct 2022,POO ERO CRIM PROSECUTION UNIT,1
Oct 2022,"POO GENERAL AREA, NON-SPECIFIC",1
Oct 2022,POO VCAS NON-CUSTODIAL ARREST,1
Oct 2022,PORTALND NON-DETAINED ARREST,79
Oct 2022,PORTLAND FUGITIVE OPERATIONS STREET ARREST,6
Oct 2022,Richland CAP,2
Oct 2022,SEA CAP,123
Oct 2022,SEATTLE FUG OPS,4
Oct 2022,SEATTLE NON-DETAINED DOCKET,168
Oct 2022,SHERIDAN FCI,6
Oct 2022,SITKA JAIL,1
Oct 2022,SPOKANE CO. JAIL,28
Oct 2022,Spokane CAP,8
Oct 2022,"TAC GENERAL AREA, NON-SPECIFIC",37
Oct 2022,UNITED STATES MARSHALS SERVICE (MULTNOMAH COUNTY),3
Oct 2022,WASHINGTON CORRECTIONS CENTER (Shelton),2
Oct 2022,WASHINGTON COUNTY JAIL,2
Oct 2022,WASHINGTON STATE PENITENTIARY,1
Oct 2022,WHITMAN CO. JAIL,1
Oct 2022,Wenatchee CAP,3
Oct 2022,YAKIMA Fug Ops,2
Oct 2022,YAKIMA NON DETAINED DOCKET,23
Oct 2022,NA,810
Nov 2022,AIRWAY HEIGHTS,1
Nov 2022,ANCHORAGE CORRECTIONAL COMPLEX,5
Nov 2022,ANCHORAGE NON-DETAINED DOCKET,9
Nov 2022,Anchorage CAP,1
Nov 2022,CLACKAMAS COUNTY JAIL,3
Nov 2022,CLALLAM BAY CORRECTIONS,1
Nov 2022,COYOTE RIDGE CORRECTIONS,3
Nov 2022,DESCHUTES COUNTY JAIL,8
Nov 2022,Eugene CAP,17
Nov 2022,Eugene Non-Detained Docket,15
Nov 2022,FAIRBANKS CORRECTIONAL CENTER,1
Nov 2022,"FDL GENERAL AREA, NON-SPECIFIC",2
Nov 2022,FEDERAL DETENTION CENTER (FDC),10
Nov 2022,JACKSON COUNTY JAIL,2
Nov 2022,JEFFERSON COUNTY JAIL,1
Nov 2022,JOSEPHINE COUNTY JAIL,2
Nov 2022,KLAMATH COUNTY JAIL,2
Nov 2022,KODIAK CITY JAIL,1
Nov 2022,KOOTENAI CO. JAIL,3
Nov 2022,Medford Non-Detained Docket,3
Nov 2022,POO CAP NON-CUSTODIAL ARREST,7
Nov 2022,PORTALND NON-DETAINED ARREST,119
Nov 2022,PORTLAND FUGITIVE OPERATIONS STREET ARREST,10
Nov 2022,SEA CAP,107
Nov 2022,SEATTLE FUG OPS,3
Nov 2022,SEATTLE NON-DETAINED DOCKET,146
Nov 2022,SHERIDAN FCI,1
Nov 2022,SPOKANE CO. JAIL,30
Nov 2022,STAFFORD CREEK CORRECTIONS,1
Nov 2022,Spokane CAP,5
Nov 2022,"TAC GENERAL AREA, NON-SPECIFIC",7
Nov 2022,WASHINGTON COUNTY JAIL,2
Nov 2022,YAKIMA Fug Ops,1
Nov 2022,YAKIMA NON DETAINED DOCKET,48
Nov 2022,YAMHILL COUNTY JAIL,2
Nov 2022,NA,787
Dec 2022,AIRWAY HEIGHTS,2
Dec 2022,ANCHORAGE CORRECTIONAL COMPLEX,9
Dec 2022,ANCHORAGE NON-DETAINED DOCKET,5
Dec 2022,CHELAN CO. JAIL,2
Dec 2022,CLACKAMAS COUNTY JAIL,1
Dec 2022,CLARK COUNTY JAIL,1
Dec 2022,COOS COUNTY JAIL,1
Dec 2022,COYOTE RIDGE CORRECTIONS,1
Dec 2022,CROOK COUNTY JAIL,2
Dec 2022,DESCHUTES COUNTY JAIL,11
Dec 2022,DOUGLAS COUNTY JAIL,2
Dec 2022,Eugene CAP,16
Dec 2022,Eugene Non-Detained Docket,18
Dec 2022,FAIRBANKS CORRECTIONAL CENTER,3
Dec 2022,"FDL GENERAL AREA, NON-SPECIFIC",3
Dec 2022,FEDERAL DETENTION CENTER (FDC),5
Dec 2022,"GRANT CO. JAIL, WA",1
Dec 2022,HILAND MOUNTAIN CORRECTIONAL CENTER,1
Dec 2022,JACKSON COUNTY JAIL,3
Dec 2022,JOSEPHINE COUNTY JAIL,2
Dec 2022,KLAMATH COUNTY JAIL,2
Dec 2022,KODIAK CITY JAIL,1
Dec 2022,KOOTENAI CO. JAIL,1
Dec 2022,MULTNOMAH COUNTY JAILS (INVERNESS & MCDC),2
Dec 2022,Medford Non-Detained Docket,4
Dec 2022,NORTHWEST DETENTION CENTER DETAINED DOCKET,1
Dec 2022,POO CAP NON-CUSTODIAL ARREST,7
Dec 2022,POO ERO CRIM PROSECUTION UNIT,1
Dec 2022,POO VCAS NON-CUSTODIAL ARREST,2
Dec 2022,PORTALND NON-DETAINED ARREST,83
Dec 2022,PORTLAND FUGITIVE OPERATIONS STREET ARREST,8
Dec 2022,Richland CAP,2
Dec 2022,SEA CAP,81
Dec 2022,"SEA GENERAL AREA, NON-SPECIFIC",1
Dec 2022,SEATTLE FUG OPS,1
Dec 2022,SEATTLE NON-DETAINED DOCKET,135
Dec 2022,SHERIDAN FCI,2
Dec 2022,SPOKANE CO. JAIL,21
Dec 2022,STAFFORD CREEK CORRECTIONS,1
Dec 2022,Spokane CAP,15
Dec 2022,WASHINGTON CORRECTIONS CENTER (Shelton),1
Dec 2022,WASHINGTON COUNTY JAIL,1
Dec 2022,WILDWOOD CORRECTIONAL CENTER,1
Dec 2022,YAKIMA Fug Ops,1
Dec 2022,YAKIMA NON DETAINED DOCKET,19
Dec 2022,YAMHILL COUNTY JAIL,1
Dec 2022,NA,815
Jan 2023,AIRWAY HEIGHTS,1
Jan 2023,ANCHORAGE CORRECTIONAL COMPLEX,5
Jan 2023,ANCHORAGE NON-DETAINED DOCKET,15
Jan 2023,Anchorage CAP,1
Jan 2023,CHELAN CO. JAIL,1
Jan 2023,CROOK COUNTY JAIL,1
Jan 2023,DESCHUTES COUNTY JAIL,4
Jan 2023,DOUGLAS COUNTY JAIL,3
Jan 2023,"EUG GENERAL AREA, NON-SPECIFIC",3
Jan 2023,Eugene CAP,14
Jan 2023,Eugene Non-Detained Docket,26
Jan 2023,FAIRBANKS CORRECTIONAL CENTER,1
Jan 2023,"FDL GENERAL AREA, NON-SPECIFIC",4
Jan 2023,FEDERAL DETENTION CENTER (FDC),32
Jan 2023,FRANKLIN CO. JAIL,1
Jan 2023,GOOSE CREEK CORRECTIONAL CENTER,1
Jan 2023,HILAND MOUNTAIN CORRECTIONAL CENTER,2
Jan 2023,JACKSON COUNTY JAIL,4
Jan 2023,JEFFERSON COUNTY JAIL,1
Jan 2023,JOSEPHINE COUNTY JAIL,2
Jan 2023,KLAMATH COUNTY JAIL,4
Jan 2023,KODIAK CITY JAIL,2
Jan 2023,KOOTENAI CO. JAIL,6
Jan 2023,LAKE COUNTY JAIL,4
Jan 2023,MAT-SU PRETRIAL,3
Jan 2023,MONROE TWIN RIVERS UNIT (TRU),1
Jan 2023,Medford Fug Ops,1
Jan 2023,Medford Non-Detained Docket,12
Jan 2023,NORTHWEST DETENTION CENTER DETAINED DOCKET,2
Jan 2023,POO CAP NON-CUSTODIAL ARREST,9
Jan 2023,PORTALND NON-DETAINED ARREST,29
Jan 2023,PORTLAND FUGITIVE OPERATIONS STREET ARREST,6
Jan 2023,Richland CAP,1
Jan 2023,SEA CAP,36
Jan 2023,SEATTLE FUG OPS,1
Jan 2023,SEATTLE NON-DETAINED DOCKET,190
Jan 2023,SHERIDAN FCI,7
Jan 2023,SPOKANE CO. JAIL,34
Jan 2023,STAFFORD CREEK CORRECTIONS,2
Jan 2023,Spokane CAP,16
Jan 2023,"TAC GENERAL AREA, NON-SPECIFIC",8
Jan 2023,WASHINGTON CORRECTIONS CENTER (Shelton),1
Jan 2023,YAKIMA NON DETAINED DOCKET,61
Jan 2023,NA,793
