"","apprehension_landmark","total"
"1","		COOK INLET PRETRIAL FACILITY",14
"2"," A- MILWAUKEE COUNTY JAIL (CJF)",4
"3"," ADELANTO DETENTION CENTER (SBSD) ADELANTO, CA",61
"4"," FTM-GLADES CTY GENERAL AREA",1
"5"," LICENSING UNIT/ STATE POLICE",42
"6"," MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)",1115
"7"," WASHINGTON COUNTY 287G JAIL ENFORCEMENT OFFICER",216
"8",".",2
"9","10TH CIRCUIT COURT PROBATION OFFICE, SAGINAW",1
"10","10TH DISTRICT COURT, BATTLE CREEK, MICHIGAN",2
"11","12TH DISTRICT COURT PROBATION, JACKSON",6
"12","13.6",3
"13","14A-1 DISTRICT COURT PROBATION, ANN ARBOR",1
"14","14A-2 DISTRICT COURT PROBATION, YPSILANTI",5
"15","14B DISTRICT COURT PROBATION, YPSILANTI",1
"16","16TH CIRCUIT COURT PROBATION OFFICE, MT. CLEMENS",10
"17","16TH DISTRICT COURT PROBATION, LIVONIA",1
"18","17TH CIRCUIT COURT PROBATION, KENT COUNTY",22
"19","17TH DISTRICT COURT PROBATION, REDFORD",2
"20","18TH DISTRICT COURT PROBATION, WESTLAND",4
"21","19TH AVENUE ZAPATA (ZAPATA COUNTY MALE JAIL)",1
"22","19TH DISTRICT COURT PROBATION, DEARBORN",1
"23","1ST DISTRICT COURT PROBATION, MONROE",1
"24","20TH DISTRICT COURT PROBATION, DEARBORN HEIGHTS",2
"25","22ND CIRCUIT COURT PROBATION OFFICE, ANN ARBOR",4
"26","22ND DISTRICT COURT PROBATION, INKSTER",1
"27","23RD DISTRICT COURT PROBATION, TAYLOR",3
"28","24TH DISTRICT COURT PROBATION, ALLEN PARK",2
"29","25TH DISTRICT COURT PROBATION, LINCOLN PARK",2
"30","27TH DISTRICT COURT PROBATION, WYANDOTTE",1
"31","287(G) - 4TH AVE JAIL (JEO)",1
"32","287(G) - ADC JEO",877
"33","287(G) - AZ DOC (JEO)",31
"34","287(G) - BENTON COUNTY JAIL ENFORCEMENT OFFICER",3
"35","287(G) - MCSO 4TH AVE JAIL JEO",17
"36","287(G) - MCSO LOWER BUCKEYE JAIL JEO",44
"37","287(G) - MESA CITY JAIL JEO",81
"38","287(G) - PRINCE WILLIAM-MANASSAS DETENTION CENTER JAIL ENFORCEMENT OFFICER",1
"39","287(G) - SAN BERNARDINO COUNTY JAIL ENFORCEMENT OFFICER",1
"40","287(G) - WASHINGTON COUNTY JAIL ENFORCEMENT OFFICER",1
"41","287(G) - YCSO CAMP VERDE JAIL JEO",75
"42","287(G) MASSACHUSETTS DOC JAIL ENFORCMENT",8
"43","287(G) PINAL COUNTY JAIL FLORENCE JEO",84
"44","287(G) PINAL COUNTY SHERIFF PATROL (TFO)",8
"45","287(G)- LOS ANGELES COUNTY JAIL ENFORCEMENT OFFICER",410
"46","287(G)- RIVERSIDE COUNTY JAIL ENFORCEMENT OFFICER",550
"47","287(G)- SAN BERNARDINO COUNTY JAIL ENFORCEMENT OFFICER",1667
